area,rooms,floor,year_of_construction,price
91,2,9,1976,665133
51,5,6,1989,480326
117,5,6,1985,189196
87,3,4,1989,279041
116,4,9,2011,617147
79,4,1,2015,886138
95,2,4,1995,266052
65,5,8,2008,215435
92,1,8,1950,927668
66,5,5,1997,698113
74,5,1,1991,364949
52,4,1,1953,937708
116,3,2,1973,512095
51,3,9,1953,794417
116,3,5,1960,722353
62,5,7,1965,224243
105,1,4,2019,447403
75,4,3,1988,623494
61,5,7,1996,358352
85,1,10,1997,521675
76,4,4,1951,946725
120,4,10,2021,420257
94,5,3,2004,352605
54,2,5,1965,463531
50,1,9,1989,431726
65,5,3,2005,619177
78,3,8,1985,398538
62,5,6,1990,813641
75,2,5,2005,399157
107,2,9,1960,923985
101,1,5,2002,232202
102,5,1,2005,753613
94,1,9,1950,532242
98,2,4,1964,390412
77,5,7,2022,439064
67,4,2,2014,399292
84,1,5,1962,971290
107,5,3,2013,923011
50,2,8,1971,828558
85,3,4,1952,357981
57,1,7,1985,407008
58,3,3,2006,602615
58,2,5,1969,329209
115,5,2,2017,272352
112,2,6,1951,943743
57,1,10,2005,304311
95,5,5,2018,922804
96,3,9,1984,781042
116,3,5,1991,808062
101,2,5,1950,270644
101,3,8,2002,184737
89,2,2,2008,737999
51,1,8,1989,951916
71,2,6,2019,382156
113,5,2,2016,646251
62,2,6,1992,191307
99,1,5,1955,915509
60,2,4,1961,998558
91,4,7,1970,850796
110,2,10,2007,963616
87,2,9,1998,678185
114,3,5,2011,534878
109,4,6,2002,518550
57,1,5,1972,730848
57,5,8,1963,150753
95,1,2,1961,497767
93,2,10,1980,215155
50,4,2,1952,823265
64,2,8,1966,264053
70,4,7,2021,872363
77,5,5,1981,857866
109,2,10,1990,942260
68,5,3,1964,364615
109,5,8,2013,636992
116,1,1,1965,511381
87,2,7,1950,843985
105,5,9,1993,981865
103,1,5,1990,318179
86,4,6,1991,818718
72,1,3,1962,654898
96,3,6,1976,805325
84,3,8,1973,671554
84,1,1,1954,260856
95,3,5,2021,585684
84,2,7,2010,477981
119,3,8,1999,573101
103,4,5,1968,987833
61,4,3,2013,299677
63,1,2,1951,569898
67,2,8,2021,565730
73,1,6,1960,176324
94,4,6,2010,831308
104,1,3,1974,483260
56,4,1,1954,779079
62,3,3,1984,437100
64,1,7,2021,604000
53,1,8,1991,983101
98,4,6,1991,932166
88,2,4,1972,931273
118,2,9,2019,383974
90,5,9,1963,487479
101,3,8,1982,534927
100,5,4,1953,458015
94,5,8,1955,787180
110,5,6,1990,464193
101,1,9,1972,592619
59,3,3,1967,720306
82,4,2,1974,178036
84,2,5,1971,979731
109,4,4,1985,742415
117,2,6,1990,397043
102,2,10,1956,974452
92,3,4,1964,999734
77,1,4,1959,778363
107,2,5,2000,592652
93,4,5,2006,915920
50,3,9,2001,555756
58,4,3,1978,507152
54,5,3,1988,667449
120,3,4,1989,172817
68,4,10,1974,889441
86,5,5,1972,989684
53,2,6,1971,317763
95,5,2,1994,843500
54,5,6,1981,511793
91,3,1,1961,975293
114,4,3,2009,998329
97,3,5,2000,223760
75,4,9,2001,273227
104,5,2,1968,679329
102,2,5,1950,339942
81,3,2,1960,878954
61,2,2,2021,589145
83,2,1,1977,586924
73,3,10,2000,588636
60,2,9,1996,240699
53,3,3,1963,392080
70,2,4,2015,485959
58,1,1,2001,236113
65,3,2,2003,445834
85,3,7,1951,201674
71,4,8,1972,152375
87,2,10,1967,633963
64,4,5,1991,820444
97,5,9,2002,512338
69,3,2,1951,998273
111,5,7,1962,283044
84,4,5,2022,271509
118,3,2,2021,371334
61,1,4,2006,876903
101,5,3,1971,637085
81,5,7,1967,954484
101,5,2,2012,224913
100,3,1,1961,643214
88,4,1,1954,619392
89,4,10,1989,597507
100,4,10,1981,954748
78,2,5,2015,699955
116,1,5,1974,346053
113,2,7,1986,993673
117,3,1,2019,529914
91,3,8,1972,408543
100,2,7,2009,676233
63,4,9,1998,225541
91,3,8,2020,996449
74,4,9,1986,855269
114,2,4,1974,287987
97,1,9,2002,322056
103,2,5,1998,486799
108,4,7,1955,595182
53,3,6,2010,241271
75,1,10,2017,993150
66,5,3,1979,635489
81,3,8,2003,291707
79,5,8,1986,647254
63,2,5,1969,782267
116,1,6,1980,825082
61,4,9,1965,749111
87,4,7,1979,962919
87,3,8,1954,773509
101,4,9,1958,516825
109,4,4,1997,832385
58,4,4,2021,497876
110,3,8,1997,455369
116,3,1,1974,990750
95,5,6,1966,573763
51,4,5,1984,830927
57,3,8,1971,688421
82,1,2,2018,282255
57,5,2,1951,372011
59,3,9,1975,668138
89,3,10,1961,368074
106,4,7,2006,552150
118,4,4,1996,752620
114,5,10,2003,159329
87,5,7,1980,394425
107,4,2,2020,883180
62,3,9,2000,414181
58,3,10,2019,180636
95,1,2,2009,572176
93,5,2,2012,248635
61,1,4,1982,594275
50,4,4,1966,901368
113,5,5,1958,444804
72,2,10,2015,257565
65,3,1,1952,245311
93,2,4,1979,518331
69,2,6,1986,917133
95,3,5,1976,299686
50,5,2,2015,299086
110,3,4,1992,186043
87,4,7,1994,999373
82,1,1,1992,701884
101,2,7,1957,153817
112,5,1,2001,905570
107,2,2,1984,961609
83,1,2,1966,233181
85,4,2,2005,877707
105,3,2,1997,980987
100,5,7,1995,650951
107,2,7,1950,980590
62,4,10,1962,894101
90,4,10,1997,699521
87,4,7,1988,536549
88,4,5,1998,325787
50,2,9,2007,363864
99,1,10,1978,453341
91,2,8,1963,551090
88,4,10,1953,317747
119,1,1,1968,666485
117,2,7,1954,836968
61,4,1,1998,722810
85,2,6,2006,331829
104,5,8,1993,151094
87,4,7,1952,464712
61,5,5,2007,318261
80,1,3,1954,384513
110,2,1,2013,394766
111,3,9,2001,543186
89,5,10,1969,896193
99,5,7,1989,177882
66,5,6,2005,449540
100,4,3,1951,724790
100,2,10,2006,837596
87,2,8,2000,330283
102,3,10,1964,167988
74,2,1,1980,229561
85,3,6,1994,264834
85,2,9,1967,200717
120,5,7,1998,787290
70,5,5,1976,153940
114,1,8,1968,525723
51,4,2,1962,603723
120,1,4,1991,899574
61,5,2,2005,455084
75,5,8,2003,163445
78,4,6,1971,634660
88,1,10,1982,530532
114,1,4,2005,192592
111,2,7,2016,892827
104,2,6,2020,702276
120,2,2,1958,329616
101,3,9,1957,437919
60,1,10,2001,695313
115,3,6,1972,427102
67,3,2,1983,664356
113,3,7,1966,352007
100,5,4,2021,621483
101,2,9,2017,734259
109,3,7,2012,963078
70,5,4,2009,818397
62,4,3,2018,176523
70,2,3,1954,883266
58,5,6,1968,759608
101,3,1,1982,957948
120,3,2,2019,694176
115,1,5,2016,897789
85,1,6,1969,801722
53,4,8,1972,287253
54,2,2,1975,428702
76,5,8,1958,550358
100,5,7,1965,362321
53,5,6,1957,650941
109,1,5,1998,625023
70,5,9,2013,713351
54,2,6,1967,869479
79,4,9,2020,844689
111,4,1,1964,273950
65,3,2,1969,648964
102,4,6,1988,494409
58,5,9,2010,265266
103,1,3,1966,384138
119,3,8,1962,892272
83,3,2,2002,902138
84,4,6,1974,295958
68,5,1,1952,289746
113,2,5,1981,984382
112,2,5,1976,506596
96,3,6,1969,182776
66,5,10,1998,224989
102,5,2,1966,523859
77,3,7,1982,218708
106,4,5,1956,734581
109,5,6,1991,424649
106,5,7,1972,236996
60,2,10,1969,878630
71,4,5,1976,586779
63,1,6,1980,738085
109,3,8,1966,197457
70,5,5,1988,439898
100,1,1,2010,463836
104,2,6,1981,808106
120,4,1,1955,835157
89,4,8,1983,256267
108,5,1,1999,892384
119,4,7,1981,834236
79,4,5,1981,281546
102,2,7,1981,835708
73,5,3,1976,821901
116,4,8,2020,722643
113,3,5,2004,797531
90,4,8,1958,593910
97,2,8,1956,234209
105,4,6,1958,649233
63,2,8,1993,734419
118,4,2,2014,483334
68,5,3,2011,161952
106,2,2,1997,314203
97,1,7,1957,354411
99,2,9,1951,314723
90,1,8,1994,415824
83,4,3,1999,190440
87,4,1,2019,711973
77,3,2,1952,529650
118,5,7,2018,332897
80,5,4,1962,246024
56,4,5,2003,646190
113,1,10,1988,386038
74,5,2,1960,933632
103,5,7,1951,195801
118,4,2,1994,511620
98,3,8,2014,740176
52,1,3,1985,919329
64,1,5,2020,513233
54,4,10,1993,570345
74,4,1,2007,253729
69,4,10,1990,791073
105,1,1,1987,756831
87,4,9,2005,392395
55,4,9,2022,167655
118,5,2,1977,376863
83,3,3,2003,488525
64,1,5,1969,782661
77,5,7,1966,869956
55,3,10,2000,378073
116,5,8,2014,838091
114,1,7,1962,414773
84,5,7,1961,304577
85,1,10,1991,938153
114,3,8,2011,272230
114,5,6,1984,521854
51,5,10,2003,297508
83,5,4,1953,623079
71,1,5,1959,285705
102,1,3,1967,863027
86,2,10,2022,314044
118,5,3,2004,214995
83,4,2,1951,954839
100,1,4,1971,462060
91,3,8,1969,233274
71,3,6,2020,762927
92,2,6,1973,809777
93,5,7,1984,182852
109,3,10,1981,750117
83,3,7,1967,967273
66,3,3,1963,190762
79,2,2,1984,170541
88,5,1,1958,553158
66,4,7,2003,367484
116,4,1,1989,374173
